role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Manager,36000,yr,2018,36920,yr,H,2019,1,female,asian,BA required MA preferred
Visitor Experience,10,hr,2016,11,hr,H,2019,,,,
Visitor Experience,45000,yr,,45000,yr,C,2019,,female,,
Education,,,,,,H,2019,,,,
other,,,,,,,2019,,female,,MA
Director,59995,yr,2014,67643,yr,,2019,25,female,,MLIS
Director,46000,yr,,53678,yr,P,2017,26,female,white,
Intern,9,hr,2016,9,hr,H,2016,4,,,
Director,60000,yr,2018,60700,yr,P,2019,10,female,white,BA
Education,21,hr,2015,23.9,hr,H Part Time,2019,,,,
Writer,52000,yr,2015,70500,yr,P,2019,16,female,white,
Educator,21,hr,2018,21,hr,H,2019,2,female,,BA
Director,45000,yr,2016,50000,yr,,2019,5,female,white,BA required MA preferred
Intern,0,yr,2018,12,hr,H,2019,1,female,white,MA
Assistant Curator,31.2,hr,2016,34,hr,H,2018,5,female,white,
Manager,27000,yr,2018,28200,yr,P,2019,5,female,white,MA
Assistant,13,hr,,13,hr,HP,2019,5,female,mixed,BA
Communications,30000,yr,,33000,yr,P,2012,,female,white,
Relations,60000,yr,,60000,yr,P,2018,6,female,,BA
Manager,65000,yr,2017,68000,yr,P,,5,,,
Manager,33000,yr,2009,48000,yr,P,2013,5,female,white,
Coordinator,37000,yr,2016,42000,yr,P,2019,5,female,,BA
Assistant Curator,38000,yr,2011,45000,yr,P,2014,6,female,latino,BA
Assistant,9865,yr,1997,9865,yr,C,1998,1,female,white,BA
Art Handler,14,hr,2016,20,hr,H,2019,,,,
Manager,31000,yr,2016,39000,yr,H,2019,,,,BA
Assistant Curator,19.2,hr,2019,19.2,hr,H,2019,13,female,,PhD
Assistant,17.5,hr,2016,18.75,hr,H,2019,7,female,white,MA
Visitor Experience,10.9,hr,2014,11.3,hr,H,2019,6,male,white,MA
Coordinator,31000,yr,2015,31000,yr,P,2019,8,female,white,
Coordinator,29800,yr,2017,29800,yr,H,2019,2,female,white,BA
Curator,13,hr,2018,15.4,hr,H,2019,3,female,white,No degree
Assistant Curator,26299,yr,,86242,yr,P,2019,,female,,
Assistant Curator,65000,yr,,69000,yr,P,2019,,female,,
Assistant Curator,48000,yr,,66000,yr,P,,,female,,MA required PhD preferred
Assistant Curator,65000,yr,,65000,yr,P,2019,,female,,
Assistant,56000,yr,,64500,yr,P,2019,,female,,
Coordinator,55000,yr,,55000,yr,H,2019,,,,
Technical,28000,yr,,45360,yr,H,2019,,male,,
Assistant Curator,58000,yr,2015,66145,yr,,2019,10,,,
Assistant Curator,42000,yr,2014,42000,yr,,2017,10,,white,MA
Editorial,27.41,hr,2016,29.37,hr,HP,2019,5,female,white,BA
Coordinator,53000,yr,2017,55000,yr,H,2019,3,female,white,BA required MA preferred
Art Handler,23,hr,,27,hr,HP,2019,2,female,white,
Gallery Assistant,12,hr,2019,15,hr,H,2019,1,female,poc,MA
Visitor Experience,12,hr,,15,hr,H Part Time,2019,,female,,BA
Manager,14,hr,2014,17,hr,H,2019,17,female,mixed,BA
Assistant Curator,20,hr,,21,hr,H Full Time,2019,,female,,
Assistant Curator,41600,yr,2016,41600,yr,H,2017,5,female,white,BA
Assistant Curator,20,hr,2017,20,hr,H,2018,2,female,,BA required MA preferred
Coordinator,37440,yr,2016,37440,yr,H,2016,10,female,white,MA
Registrar,20.38,hr,2016,21.41,hr,H,2019,5,female,white,BA required MA preferred
Academic,10,hr,1991,10,hr,H,1992,2,female,white,BA required MA preferred
Technical,50000,yr,2019,50000,yr,P,2019,4,female,white,BA required MA preferred
Registrar,40000,yr,2018,40000,yr,HP,,,,,
Visitor Experience,42000,yr,2014,45000,yr,H,2019,5,female,,MA
Technical,38000,yr,2012,43000,yr,P,2018,8,female,,BA
Sales,49500,yr,2019,49500,yr,P,2019,4,female,white,
Education,12,hr,,21,hr,HP,2019,10,,white,
other,33000,yr,,38000,yr,H,2017,,,,
Research,14,hr,2012,24,hr,HP,2019,10,female,white,HS
Visitor Experience,26500,yr,,28900,yr,H Full Time,,,,,
Communications,45000,yr,,60000,yr,P,2019,7,female,,
Coordinator,25000,yr,2002,35000,yr,P,2007,6,female,white,BA
Coordinator,31000,yr,,41000,yr,H,2019,10,male,white,
Education,45000,yr,,,,,,,,,
Art Handler,38880,yr,2016,40435,yr,HP,2019,9,,,
Manager,57000,yr,2018,57000,yr,P,2019,4,female,white,
Education,23,hr,2016,24,hr,H,2019,11,female,white,BA
Education,30000,yr,2012,45045,yr,HP,2019,8,female,white,BA required MA preferred
Visitor Experience,16,hr,2019,16,hr,H,2019,0,male,white,MA
other,71000,yr,,76009,yr,H,2019,15,male,mixed,MA
Education,42000,yr,2018,51000,yr,P,2019,1,female,white,BA
Manager,79000,yr,2012,90506,yr,P,2019,23,female,white,MA
Manager,84000,yr,2018,84000,yr,P,2019,18,,,
Assistant Registrar,,,,31920,yr,P,2019,10,female,,
Assistant,28,hr,2017,28,hr,H,2019,4,female,white,MA
Assistant Manager,50000,yr,2013,,,,2013,3,female,white,MA
Technical,49285,yr,2017,50759,yr,HP,2019,18,female,mixed,BA
Assistant,,,2018,,,H,2019,0,,,BA
Assistant,48000,yr,2017,48000,yr,H,2017,4,,,
Technical,23.85,hr,2018,29.37,hr,H,2019,1,female,,
Registrar,21,hr,2015,27,hr,H,2019,5,female,white,MA
Relations,42000,yr,2016,52000,yr,HP,2018,3,female,white,BA
Technical,87500,yr,2015,98750,yr,P,2019,10,male,white,BA
Registrar,19000,yr,2006,28500,yr,HP,2014,20,male,,
other,35000,yr,2018,35000,yr,H,2019,4,,,BA
Manager,24500,yr,2013,25500,yr,P,2019,6,female,white,MA
Assistant Educator,41000,yr,2019,41000,yr,,2019,5,female,,BA required MA preferred
Assistant Registrar,45000,yr,2018,45000,yr,P,2019,7,female,asian,BA required MA preferred
Coordinator,41000,yr,2018,47000,yr,,2019,,,,
Assistant Educator,34257,yr,2019,34257,yr,H,2019,5,male,white,BA required MA preferred
other,50000,yr,2019,50000,yr,Full Time,2019,2,,,BA
Registrar,52000,yr,2015,59000,yr,P,2019,20,female,mixed,BA
Curator,36000,yr,2014,47700,yr,P,2019,8,female,white,MA
other,36000,yr,2016,40000,yr,P,2019,1,,,BA
Director,46000,yr,2018,46000,yr,P,2019,,female,white,BA required MA preferred
Coordinator,42000,yr,2018,42000,yr,P,2019,7,other,,BA
Education,61000,yr,,69000,yr,P,2019,11,female,white,MA
Manager,125000,yr,,156000,yr,P,2019,30,female,white,PhD
Registrar,54972,yr,2017,61343,yr,P,2019,10,female,white,MA
Manager,69355,yr,2018,70926,yr,C,2019,3,female,asian,BA required MA preferred
other,43684,yr,2016,57510,yr,P,2019,3,female,mixed,MA
Archivist,40641,yr,2008,65176,yr,P,2019,18,female,white,MA
Assistant,65000,yr,2017,65000,yr,P,2019,10,female,,BA
Photographer,47938,yr,2017,51718,yr,P,2019,10,,white,
Technical,74000,yr,2017,80000,yr,P,2019,10,male,white,
other,38000,yr,2015,50000,yr,P,2019,3,female,white,MA
Educator,25,hr,2017,25,hr,HC,2019,5,,,
Assistant,30000,yr,2015,69050,yr,P Full Time,2019,15,,,
Assistant Curator,52668,yr,2016,61343,yr,P,2019,8,female,white,MA
Assistant Curator,52000,yr,2016,56000,yr,C,2017,,female,white,
Assistant Curator,35265,yr,,48583,yr,C,2019,4,female,white,MA
Curator,72573,yr,2018,76540.63,yr,P,2019,10,female,white,PhD
Manager,15600,yr,,81000,yr,P,2019,,female,,
Assistant,36281,yr,2017,43719,yr,P,2019,,female,white,
Intern,0,yr,2015,0,yr,C,2015,3,female,white,MA
Technical,53989,yr,2019,57812,yr,,2019,3,,,
Conservator,63722,yr,,78861,yr,P,2019,5,male,white,MA
Intern,16.25,hr,,16.25,hr,C,2019,,,,
Intern,0,yr,,0,yr,C,2019,,,,
Assistant,42000,yr,2018,42000,yr,P,2019,5,female,white,MA
Coordinator,40800,yr,2018,40800,yr,C,2019,3,male,latino,None required MA preferred
Assistant,37113,yr,2018,47016,yr,P,2019,1,female,,BA
Assistant,35000,yr,2017,35000,yr,Full Time,2019,5,,,BA
Assistant,43057,yr,2015,67093,yr,,2019,5,female,,No degree
Conservator,30000,yr,1984,42000,yr,P,1990,12,male,white,MA
Curator,,,2015,76541,yr,P,2019,4,male,latino,PhD
Communications,38273,yr,2014,109.088,yr,,2019,10,female,poc,MA
Manager,103000,yr,2017,112000,yr,P,2019,21,female,,MA
Assistant Curator,52000,yr,2014,68000,yr,C,2019,9,,,
Technical,58100,yr,2018,61343,yr,P,2019,4,male,white,BA
Manager,45972,yr,2017,48583,yr,C,2019,4,female,white,
Educator,25,hr,2018,25,hr,C,2019,,female,white,
Relations,59983,yr,2018,59983,yr,,,5,,white,
Assistant,37955,yr,,39220,yr,P,2019,,female,poc,
other,14000,yr,1988,85000,yr,P,2019,40,male,white,No degree
Director,116000,yr,2012,139000,yr,P,2016,7,female,,
Educator,25,hr,,25,hr,C,2019,,female,,
Editor,40000,yr,2008,45000,yr,P,2012,6,,,
Conservator,27000,yr,2014,27000,yr,C,2016,,,,MA
Assistant,31200,yr,2018,37440,yr,H,2019,1,female,,BA
other,14,hr,2014,17,hr,H,2016,3,female,white,BA
Admin,55000,yr,,65000,yr,P,,,,,
Manager,36600,yr,,41500,yr,P,2019,,male,,
Registrar,13,hr,2015,13,hr,C,2016,9,female,white,BA
Curator,15,hr,2017,15,hr,H,2019,5,female,white,BA
Communications,30000,yr,2019,30000,yr,P,2019,3,female,poc,BA
Coordinator,31000,yr,2017,36000,yr,P,2019,12,female,white,MA
Manager,33000,yr,2015,42000,yr,P,2019,,,,
Security,10,hr,2016,11,hr,H,2019,4,female,,
Curator,13,hr,2009,,,C,2012,0,female,white,BA
Sales,27000,yr,2015,38000,yr,,2019,3,other,white,BA
Director,43000,yr,2019,43000,yr,,2019,22,female,white,BA
Curator,,,2015,30300,yr,H,2019,,male,white,
Curator,24000,yr,2008,40392,yr,P Full Time,2019,10,female,white,HS
other,16,hr,2018,20,hr,C,2019,4,,,
other,23,hr,2012,23,hr,H,2019,15,female,white,MA
Assistant,40000,yr,2018,40000,yr,P,2019,3,female,white,BA
other,35000,yr,2015,40000,yr,P,2018,5,male,white,BA
Curator,42000,yr,,46000,yr,P,2019,,female,white,
Gallery Assistant,25000,yr,,,,P,2016,1,,,
Visitor Experience,11,yr,2017,13.71,hr,H,2019,4,female,poc,BA required MA preferred
Director,63000,yr,,85000,yr,P,2017,10,,,
Sales,30000,yr,2017,34500,yr,P,2019,3,female,white,BA
Intern,11,hr,,11,hr,C,2017,1,female,white,BA
Curator,24960,yr,2016,41600,yr,P,2019,4,female,white,MA
Visitor Experience,11.2,yr,2018,11.42,hr,H,2019,2,female,white,BA
Relations,47000,yr,2011,47000,yr,P,2011,23,female,white,MA
other,35000,yr,2013,48000,yr,P,2019,5,female,latino,MA
Assistant,35000,yr,,36000,yr,P,2019,,female,poc,
Coordinator,48000,yr,2018,48000,yr,P,2019,1,female,white,
Manager,53000,yr,2015,55000,yr,P,2018,,female,poc,
Assistant,24000,yr,,31000,yr,HP,2019,,female,white,
Assistant,9.64,hr,2018,9.73,hr,H,2019,3,female,white,BA
Assistant,30000,yr,2016,35000,yr,H,2019,3,female,white,BA required MA preferred
Intern,0,yr,,,,,2018,,,,
Technical,20,hr,,25,hr,H,,,female,,
Intern,0,yr,2019,0,yr,unpaid,,0,female,,MA
Conservator,19,hr,2006,30,hr,H,2019,13,,,
Art Handler,23,hr,2011,33,hr,H,2019,5,other,,MA
Assistant Registrar,21,hr,2018,21.5,hr,P,2019,9,female,white,BA required MA preferred
Registrar,30266,yr,2017,31600,yr,P,2018,4,female,white,BA
Assistant,17,hr,,,,H,2019,,,,MA
Visitor Experience,10,hr,2013,11.62,hr,H,2019,6,female,white,HS
Technical,35000,yr,2016,35367,yr,P,2019,20,female,white,HS
Manager,16,hr,2019,16,hr,H,2019,1,female,white,MA
Visitor Experience,13.5,hr,2018,13.75,hr,H,2019,,,,
Visitor Experience,20358,yr,2017,20735,yr,H,2019,4,male,latino,
Coordinator,39000,yr,2015,42000,yr,P,2019,6,female,mixed,BA required MA preferred
Editorial,5000,yr,2017,5000,yr,H,2019,5,male,white,MA
Manager,30000,yr,2014,31200,yr,HP,2019,5,female,white,MA
Curator,50000,yr,2018,50000,yr,P,2019,5,female,white,MA
Gallery Assistant,10.15,hr,2018,11,hr,H,2019,2,male,white,BA
Coordinator,15,hr,2019,15,hr,HP,2019,3,female,,BA
Academic,31500,yr,2018,31500,yr,HC,2019,5,,,MA
Assistant,50000,yr,2018,50000,yr,P,2019,2,,,BA
Technical,40000,yr,2016,40000,yr,H,2019,3,male,white,BA
Assistant,33000,yr,2011,38000,yr,P,2013,,female,white,
Manager,43000,yr,2017,44000,yr,P,2019,2,female,latino,BA
Director,32000,yr,1995,112000,yr,P,2019,24,male,latino,MA
Coordinator,31500,yr,,40000,yr,P,2019,,,,
Coordinator,27000,yr,,36000,yr,P,2018,,female,,
Technical,31500,yr,,35500,yr,P,2019,,,,
Assistant,33500,yr,,33500,yr,P,2019,,male,,
Coordinator,30000,yr,2000,30000,yr,P,2003,,female,asian,
Assistant,21000,yr,,21000,yr,P,1999,,female,asian,
Assistant,12,hr,,12,hr,H,2017,,female,,
Gallery Assistant,12,hr,2018,12,hr,H,2019,5,female,poc,HS
Education,12,hr,2010,,yr,H,2012,6,male,white,
Assistant,18900,yr,,18900,yr,H,2017,,,,
Coordinator,42000,yr,,42000,yr,P,2016,,,,
Assistant,15,hr,2014,17,hr,H,2016,3,female,white,BA required MA preferred
Assistant Curator,10,hr,2009,10,hr,H,2010,2,female,,BA
Visitor Experience,38000,yr,2012,44000,yr,P,2018,6,female,white,BA required MA preferred
Visitor Experience,15,hr,2018,15,hr,H,2019,5,,,
Curator,19.16,hr,2019,19.16,hr,HP,2019,,female,white,MA
Assistant,40000,yr,2017,40000,yr,P,2018,1,,,BA
Assistant Curator,42000,yr,2016,45000,yr,,2019,5,,,
Curator,21.6,hr,2016,21.6,hr,H,2019,5,female,white,No degree
Coordinator,34000,yr,2017,36000,yr,HP,,6,,,
Visitor Experience,37000,yr,2014,46000,yr,HP,2019,10,female,white,
Curator,115000,yr,,115000,yr,P,2017,,male,white,
Archivist,45000,yr,,45000,yr,C,2018,,,,
Assistant,27000,yr,,32000,yr,H,2019,,female,,
Designer,60000,yr,2017,61800,yr,P,2019,9,female,,
Editor,,yr,,78350,yr,P,2019,20,,white,BA
Security,11,hr,2016,13,hr,H,2019,3,,,None required MA preferred
Coordinator,20.5,hr,2016,21.75,hr,H,2018,4,,,
Sales,12,hr,2001,24,hr,H Full Time,2019,30,female,white,MA
Assistant,39500,yr,2018,39500,yr,H,2019,5,female,white,BA
Assistant,46000,yr,2016,50000,yr,HP,,8,,,MA
Assistant Curator,33186,yr,2018,33186,yr,C,2019,1,female,white,MA
Manager,50000,yr,2016,55000,yr,P,2017,,female,white,
Assistant Educator,35,hr,2017,40,hr,H,2018,5,female,white,MA
Assistant Curator,75000,yr,2018,75000,yr,P,2019,12,female,white,MA
Coordinator,39000,yr,2016,42795,yr,P,2019,3,female,white,BA
Security,15,yr,2018,15,hr,H,2019,2,male,white,HS
Curator,,yr,,50000,yr,P,2019,15,female,,
Director,20290,yr,,,,P,2018,3,male,white,
Assistant Curator,38000,yr,2014,40000,yr,P,2019,6,female,,MA
Assistant Curator,38000,yr,2018,45000,yr,P,2019,10,female,white,MA
Visitor Experience,36000,yr,2018,36000,yr,P,2019,20,male,white,HS
Assistant Curator,60000,yr,2017,61800,yr,C,2019,4,female,,MA
Assistant,9.4,hr,2008,9.4,hr,H,2008,1,female,,
Assistant Manager,52000,yr,2017,53562.6,yr,C,2019,8,female,,BA
Assistant Curator,58005,yr,2015,61900,yr,P,2019,15,female,,PhD
Curator,42000,yr,2015,58500,yr,P,2019,9,female,,MA
Technical,60000,yr,2014,65000,yr,P,2019,7,male,white,
Admin,65000,yr,2014,75000,yr,P,2019,12,female,,BA
Assistant,45500,yr,2017,53500,yr,H,2019,,female,white,
Editor,65000,yr,2017,66300,yr,P,2019,5,,white,BA
Designer,67000,yr,2014,78000,yr,P,2019,7,female,white,BA
Admin,32000,yr,2011,45000,yr,H,2019,9,female,,MA
Academic,52000,yr,2016,52000,yr,C,2019,3,,,MA
Assistant,39500,yr,2014,44669.06,yr,HP,2018,6,female,white,BA
Assistant Curator,63000,yr,2012,77000,yr,P,2019,,female,white,PhD
Assistant,28000,yr,2019,28000,yr,H,2019,,male,white,BA
Coordinator,41200,yr,2016,49500,yr,HP,2019,3,,,
Assistant,38500,yr,2014,,,,,,,,
Assistant,54000,yr,2017,61500,yr,P,2019,15,female,mixed,MA
Assistant,,yr,,45000,yr,P,2019,2,,black,BA
Assistant Manager,58500,yr,2019,58500,yr,P,2019,1,female,poc,MA
Assistant,40000,yr,2015,60000,yr,,,13,,,MA
Designer,48000,yr,2016,51000,yr,P,2019,,female,white,
Designer,35000,yr,2017,42500,yr,P,2019,2,,,
Assistant Curator,58750,yr,2019,,yr,P,2019,4,female,white,MLIS
Education,10,hr,2015,10,hr,C,2019,10,,,MA
Assistant Curator,73000,yr,,73000,yr,P,2019,,female,,
Coordinator,35000,yr,2015,38000,yr,P,2018,5,female,latino,BA
Coordinator,0,yr,2017,35000,yr,,2019,3,male,white,No degree
Assistant Curator,54931,yr,2015,64915.75,yr,C,2019,7,female,,
Editor,39000,yr,2006,103000,yr,P,2019,15,female,white,
Coordinator,54500,yr,2019,56000,yr,P,2019,3,female,white,BA required MA preferred
Curator,32000,yr,2018,32000,yr,C,2019,10,female,,MA
other,10,hr,2015,13.5,hr,H,2019,4,female,,BA
Conservator,29000,yr,2011,35000,yr,P,2018,11,female,white,BA
Designer,58000,yr,2018,58000,yr,P,2019,3,female,,
Coordinator,33500,yr,2015,42000,yr,P,2019,6,female,asian,BA
Manager,26500,yr,2013,34500,yr,H Full Time,2019,7,male,white,MA
Technical,38000,yr,2015,54000,yr,P,2019,4,female,white,BA
Assistant,14.2,hr,2019,14.2,hr,H,2019,4,,,BA
Manager,50000,yr,2019,,,P,,3,male,latino,BA
Coordinator,30000,yr,2015,35000,yr,P,2019,5,female,white,
Coordinator,35000,yr,,,,H Full Time,2015,,female,white,
Visitor Experience,11.5,yr,2017,12.75,hr,,2019,2,female,latino,BA
Assistant,10793,yr,2016,14500,yr,H,2019,3,female,,BA
Registrar,50000,yr,2016,50000,yr,P,2019,30,female,white,BA
Designer,7.25,hr,2018,7.25,hr,P,2019,,female,,
Visitor Experience,18,hr,2019,,,H,2019,,,,
Curator,15,yr,1996,35000,yr,P,2018,23,female,white,BA required MA preferred
Communications,28000,yr,2015,28000,yr,H,2018,4,female,white,BA
Assistant,15,hr,2017,15,hr,HC,2017,5,female,white,HS
Manager,45000,yr,2016,51500,yr,P,2019,9,female,white,MA
Coordinator,32000,yr,2014,17.37,hr,H,2019,11,female,white,BA required MA preferred
Designer,38000,yr,2018,38000,yr,P,2019,2,male,latino,BA
Manager,48000,yr,2018,48000,yr,P,2019,7,female,,MA
Coordinator,20,hr,2016,20,hr,,,15,female,white,
Conservator,55000,yr,,59000,yr,P,2019,,female,white,
Intern,11.25,hr,2015,,,C,2015,1,female,white,HS
Assistant,14,hr,2015,14,hr,,2016,1,female,white,BA
Technical,14,hr,2016,17.08,hr,,2019,5,female,white,BA
Assistant,30000,yr,2018,30000,yr,,,2,female,latino,
Communications,45000,yr,2018,55000,yr,P,2019,4,female,poc,
Academic,59500,yr,,59500,yr,C,2019,,,,
Curator,40000,yr,,40000,yr,C,2019,,female,,
Communications,41000,yr,2013,41500,yr,P,2017,2,female,poc,BA
Archivist,25896,yr,,26748,yr,H Full Time,2019,6,female,white,BA required MA preferred
Manager,55000,yr,2018,55000,yr,C,2019,10,,,
Art Handler,17,hr,2008,18,hr,,2011,6,male,white,
Intern,0,yr,2012,0,yr,H,2012,,,,
Intern,0,yr,2012,0,yr,H,2014,,,,
Technical,52000,yr,2016,58500,yr,P,2019,,male,,
Editorial,41000,yr,2013,47000,yr,P,2016,,male,,MLIS
Assistant Curator,43000,yr,,43000,yr,H,2019,,female,mixed,
Librarian,73000,yr,2015,82000,yr,P,2019,24,female,white,MA
Assistant Curator,19.5,hr,2014,20.8,hr,H,2018,10,female,white,BA
Manager,36000,yr,2019,,,,2019,3,,,
Communications,55000,yr,,55000,yr,P,2017,5,female,white,BA
Research,0,yr,2008,74220,yr,C,2019,11,,,
Curator,55000,yr,2018,55000,yr,P,2019,14,male,white,MA
Coordinator,27460,yr,2011,44674.5,yr,H,2019,9,female,white,MA
Assistant Curator,36000,yr,,39000,yr,C,2019,,female,white,
Assistant Registrar,40000,yr,2018,40800,yr,C,2019,6,female,white,MA
Academic,38000,yr,2018,38000,yr,C,2019,2,female,,BA
Manager,69000,yr,2012,82810,yr,P,2019,14,female,white,
Assistant Curator,5000,yr,2015,5411,yr,P,2019,6,female,,
Designer,43000,yr,2011,43000,yr,P,,5,female,white,MA
Manager,12,hr,2019,12,hr,H,2019,11,female,white,MA
Academic,3000,yr,2011,3000,yr,C,2019,10,,,MA
Art Handler,40000,yr,2016,68000,yr,HP,2019,5,male,white,BA
Director,70000,yr,2013,85069,yr,P,2019,12,female,white,
Technical,47500,yr,2015,52000,yr,,2019,4,,,BA
Education,34000,yr,2014,36400,yr,P,2019,10,female,white,BA
Manager,50000,yr,2014,50000,yr,P,2016,2,,,
Conservator,,yr,,64500,yr,P,2019,14,,,
Curator,22,hr,2014,22,hr,C,2017,6,female,latino,MA
Academic,22500,yr,2014,0,yr,C,2016,1,female,white,
Academic,1000,hr,2018,1100,hr,C,2018,5,female,white,MA required PhD preferred
Assistant Curator,32000,yr,,32960,yr,P,2017,,,,
Archivist,25000,yr,2018,25000,yr,H,2019,5,female,white,MA
Visitor Experience,25000,yr,2015,30000,yr,P,2019,5,female,white,BA
Relations,35000,yr,2018,35000,yr,P,2019,3,female,white,BA
Assistant Registrar,20,hr,2015,22,hr,H,2019,12,male,latino,BA
Manager,29500,yr,2018,30300,yr,P,2019,9,male,white,BA
Coordinator,33000,yr,,38000,yr,P,2018,,,,
Conservator,34000,yr,2016,35500,yr,,2019,5,male,white,BA required MA preferred
Communications,49000,yr,2017,49490,yr,P,2019,9,female,latino,
Manager,48000,yr,,48000,yr,P,2016,,female,white,
Visitor Experience,30000,yr,2016,34000,yr,HP,2019,,female,white,
Coordinator,,yr,,25400,yr,HP,2016,,female,white,
Manager,45000,yr,2017,46000,yr,P,2019,5,female,,BA
Designer,40000,yr,2016,45000,yr,P,2018,,female,,
Communications,41000,yr,2017,41410,yr,P,2019,12,female,white,
Coordinator,30200,yr,2018,31000,yr,HP,2019,,,,
Coordinator,35000,yr,2019,35750,yr,HP,2019,2,female,white,
Curator,35000,yr,2018,35000,yr,C,2019,8,female,white,
Relations,33.28,hr,2018,35.36,hr,H,2019,1,female,white,
Coordinator,39520,yr,2017,52000,yr,P,2019,4,female,white,BA
Visitor Experience,8.5,yr,2016,8.5,hr,H Part Time,2018,2,female,white,HS
Art Handler,17.5,hr,2004,17.5,hr,H,2004,10,,,
Curator,71000,yr,2019,71000,yr,P,2019,17,male,latino,BA required MA preferred
Assistant,20.6,hr,2018,21.21,hr,H Part Time,2019,4,female,poc,No degree
Assistant Director,38000,yr,2015,50000,yr,,2019,4,female,,BA
Coordinator,32500,yr,2016,,,H,2019,1,female,latino,BA
Communications,43000,yr,2014,47000,yr,HP,2019,15,female,white,MA
Manager,28800,yr,,36133,yr,P,2019,,female,white,BA
Manager,15,hr,2017,36133,yr,P,2019,2,,,BA
Curator,17,hr,2011,20.6,hr,H,2019,14,female,white,BA required MA preferred
Assistant,38000,yr,2016,40000,yr,H,2019,6,,,BA
Registrar,,yr,,,,HP,,15,,white,
Coordinator,48000,yr,2016,52000,yr,P,2019,,female,,
Education,,yr,,110,hr,H,,,male,latino,
Assistant Curator,25,hr,,27.5,hr,HC,2019,,,,
Manager,56000,yr,,62500,yr,P,2019,,female,white,
Technical,50000,yr,,55000,yr,,,,,poc,
Coordinator,52000,yr,,54000,yr,P,2019,,,,
Coordinator,35000,yr,,42000,yr,P,2019,,,,
Assistant Curator,36400,yr,,40040,yr,C,2019,,female,white,
Assistant Curator,30000,yr,,40000,yr,P,2016,,,,
Assistant,36000,yr,,36000,yr,P,2019,,female,poc,
Assistant,28500,yr,2010,29000,yr,P,2012,,female,poc,
Assistant,28000,yr,,28000,yr,P,,,female,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Intern,0,yr,2010,0,yr,,2019,,,,
Assistant Curator,22,hr,,,,,,,female,,
Assistant Curator,30000,yr,2007,60000,yr,P,2019,20,female,,BA
Assistant Curator,30000,yr,2014,46000,yr,HP,2019,7,female,,BA required MA preferred
Assistant Curator,34500,yr,2016,42500,yr,P,2019,5,female,white,
Assistant Curator,36400,yr,2017,40000,yr,HP,2019,5,female,white,BA required MA preferred
Assistant Curator,18,hr,2016,18,hr,HC,2018,8,female,,BA
Assistant Curator,15,hr,2012,15,hr,HC,2013,2,female,white,MA
Assistant,35000,yr,2017,40000,yr,H,2019,3,female,white,BA required MA preferred
other,60000,yr,2018,61800,yr,P,2019,5,male,white,BA
Relations,35000,yr,2014,50000,yr,P,2016,2,female,white,BA
Visitor Experience,15,hr,2015,15,hr,P,2015,3,female,asian,BA
Coordinator,38500,yr,2018,39270,yr,HP,2019,4,,,
Coordinator,27500,yr,2017,28600,yr,P,2019,3,female,white,BA
Assistant Curator,48000,yr,2018,,,,,,female,white,
Intern,14,hr,2014,27,hr,P,2017,3,female,white,
Relations,42000,yr,2015,47000,yr,P,2017,,female,white,
Assistant,26500,yr,2012,26500,yr,C,2013,3,female,white,MA
Assistant Curator,30000,yr,2016,42000,yr,C,2019,7,female,white,MA
Designer,35000,yr,2008,38000,yr,P,2008,15,female,white,BA
Assistant,30000,yr,,30000,yr,P,2010,,female,white,
Curator,35000,yr,,35000,yr,C,2015,,female,white,
Curator,64000,yr,,65000,yr,P,2019,,female,white,MA
Assistant Registrar,45000,yr,,45000,yr,P,2019,,female,latino,
Librarian,35000,yr,2018,35000,yr,P,2019,3,female,white,BA required MA preferred
Education,14,hr,,20,hr,P,2019,14,female,white,BA
Director,75000,yr,2014,78000,yr,P,2019,20,male,white,MA
Visitor Experience,10,hr,2014,15.25,hr,,2019,5,male,white,No degree
Visitor Experience,14,hr,2019,14,hr,HC,2019,,female,,
Education,45000,yr,2018,46100,yr,P,2019,6,female,,BA
Manager,,yr,,29000,yr,,2017,4,male,white,MA
Visitor Experience,55000,yr,2011,,,C,,,,,
Academic,36000,yr,2016,,,C,,,,,
Assistant,48000,yr,2008,51000,yr,P,2010,5,female,white,MA
Coordinator,,yr,,,,H,2019,6,,,BA
Assistant,40000,yr,2016,45000,yr,HP,2019,7,other,latino,
Registrar,60000,yr,2014,70000,yr,P,2019,12,male,white,BA
Registrar,,yr,2012,52416,yr,H,2019,14,male,white,
other,55000,yr,2017,58000,yr,H,2019,7,female,asian,BA
